posting_id,employer,exact_job_title,source_url,date_reviewed,active_status,remote_100_percent_status,tennessee_eligibility_status,onsite_training_status,minimum_experience_exact,education_requirement_exact,requirement_text_exact,required_or_preferred,technology_mentioned,workflow_responsibility,communication_responsibility,sample_classification,notes
PA-J01,TeamHealth / AccessNurse,Patient Coordinator (Remote/Non-Clinical) AccessNurse,https://www.accessnursecareers.com/,2026-09-03,Verified active,Verified 100% remote,Verified Tennessee - Knoxville posting,No onsite requirement identified,"Minimum 1 year of customer service experience","High school diploma or GED","Minimum 1 year of customer service experience",Required,"Basic computer and typing skills; company equipment",Inbound patient calls; patient information documentation; nurse triage reporting,Patient telephone support; guided scripting; empathy,Qualified primary,"Official employer careers source; current 19-Aug-2026 posting."
PA-J02,Ensemble Health Partners,Patient Access Specialist - NIGHT SHIFT,https://notify.careers/postings/9e4c84b0-1d4f-42fc-a9d3-58e1049787db,2026-09-03,Appears active,Verified remote,Verified Tennessee - Greeneville posting,Unclear,Not yet captured from employer source,Not yet captured from employer source,,Unclear,Not yet captured,Patient access / revenue cycle support context,Patient and client service,Verification pending,"Remote Tennessee and entry-level labeling observed; requirement extraction still needs official employer-source verification."
PA-J03,Clinical Health Network for Transformation,Bilingual Patient Access Representative,https://jobs.lever.co/ClinicalHealthNetworkForTransformation/79b2511d-179a-4396-bf4b-e24f2b752e74,2026-09-03,Verified active,Verified remote,Unclear - remote US role but Tennessee eligibility not explicitly stated,No onsite requirement identified,Not yet captured from accessible posting excerpt,Not yet captured from accessible posting excerpt,"scheduling appointments, verifying patient insurance, pre-registering patients for their appointments",Required role duties,Patient access center systems,Appointment scheduling; insurance verification; pre-registration; alternate funding screening,High-volume phone/contact support in Spanish or English,Verification pending,"Official Lever employer posting. Bilingual requirement means personal eligibility must be verified separately."
PA-J04,Vituity,Patient Services Representative I - Remote - Nationwide,https://www.linkedin.com/jobs/view/patient-services-representative-i-remote-nationwide-at-vituity-4428753726,2026-09-03,Appears active,Verified remote nationwide,Appears Tennessee eligible because posting states nationwide; official-source confirmation still needed,Unclear,"Experience in a health care setting or insurance related field providing patient registration and/or insurance authorization",Not yet captured,"Experience in a health care setting or insurance related field providing patient registration and/or insurance authorization",Required/unclear,Not yet captured,Patient registration and insurance authorization support,Patient services / account communication,Verification pending,"Secondary source used; official employer job page still needed before primary-sample lock."
PA-J05,Boston Medical Center,Patient Service Representative (Remote),https://careers.bmc.org/jobs/patient-service-representative-remote-remote-united-states-6cf96c5e-a7d7-4b45-8973-14342f03a32e,2026-09-03,Verified active,Verified permanently remote,Unclear - Remote United States; Tennessee not explicitly confirmed,No onsite requirement identified,Not stated in accessible excerpt,"High School diploma/GED required","A minimum of a High School diploma/GED is required.",Required,Remote workstation; ambulatory call-center systems,Inbound/outbound communications; scheduling; follow-up; insurance verification; authorization management,Patient phone/email communication; questions and concerns,Verification pending,"Official employer careers source. Tennessee work-state eligibility still needs explicit verification."
PA-J06,Abax Health,Patient Access Concierge EST/CST Scheduling and IVR,https://abaxhealth.com/job/patient-access-concierge-est-cst-scheduling-and-ivr/,2026-09-03,Verified active,Verified remote,Time-zone fit appears compatible with Tennessee; state eligibility not explicitly stated,No onsite requirement identified,"Customer service: 3 years (Required)",Not stated,"Customer service: 3 years (Required)",Required,"Microsoft Office; web-based systems; phone/text/chat/email tools",Scheduling; insurance verification; authorization; referral follow-up; patient access coordination,Multichannel patient communication; conflict resolution,Supplemental market intelligence,"Official employer source. Excluded from primary entry-level denominator because of 3-year required customer-service experience."
PA-J07,Inizio Engage,Virtual Patient Access Coordinator,https://inizio.wd3.myworkdayjobs.com/cso/job/united-states---remote/virtual-patient-access-coordinator_jr36349,2026-09-03,Verified active,Verified United States remote,Appears Tennessee eligible; state eligibility not explicitly stated,No onsite requirement identified,"Minimum 1-2 years of industry experience with pharmaceutical or healthcare case management","Bachelor’s degree required","Bachelor’s degree required",Required,Designated computer system; software navigation,Benefits investigation; eligibility; reimbursement support; prior authorization and appeals; patient assistance programs,Patients; physicians; pharmacies; third parties,Supplemental market intelligence,"Official Workday employer source. Hard qualification and industry-experience requirements exceed target entry-level baseline."
PA-J08,Covenant Health,Patient Access Navigator - Call Center,https://careers-covenanthealth.icims.com/jobs/67715/patient-access-navigator/job?in_iframe=1,2026-09-03,Verified active,Not remote in source,Verified Tennessee - Knoxville,Not applicable,"Previous call center or customer service experience is preferred","Equivalent to high school diploma or GED typically accepted","Previous call center or customer service experience is preferred.",Preferred,"Insurance verification; registration and scheduling IT systems",Insurance verification; data entry; scheduling; customer needs resolution,Calls; live chat; email; patients; care teams,Supplemental market intelligence,"Official employer source. Strong role-family comparator but excluded from primary denominator because remote status is not verified."
PA-J09,Nashville General Hospital,Patient Access Representative,https://jobs.jobvite.com/nashvillegeneralhospital/job/oQUGAfwK,2026-09-03,Verified active,Not remote in source,Verified Tennessee - Nashville,Not applicable,Not yet captured,Not yet captured,"Performs timely and accurate registrations, scheduling, complete benefit verification",Required role duties,Registration / scheduling systems not specified,Registration; scheduling; benefit verification; authorizations; referrals,Front-line patient and guest customer service,Supplemental market intelligence,"Official employer source. Excluded from primary denominator because posting is onsite."
PA-J10,CommonSpirit Health,Patient Access Representative,https://www.commonspirit.careers/job/chattanooga/patient-access-representative/35300/99844159088,2026-09-03,Verified active,Verified Remote = No,Verified Tennessee - Chattanooga,Not applicable,Not yet captured,Not yet captured,"gathering, verifying, and updating demographic, insurance, and account information",Required role duties,Multiple registration / scheduling / documentation systems,Registration; scheduling; documentation; discrepancy escalation,Patients; families; healthcare team,Supplemental market intelligence,"Official employer source. Excluded from primary denominator because posting explicitly states Remote: No."
